Ascent Label,Ascent ID,Ascent Link,Ascent Type,Ascent Grade,# Ascents,Route Stars,Route Height,Route Name,Route Grade,Route ID,Route Link,Country,Country Link,Crag Name,Crag Link,Crag Path,With,Comment,Quality,Ascent Date,Log Date,Shot,Trip Name,Trip ID,Trip Link
Lord of the Thais,3136081017,http://www.thecrag.com/ascent/3136081017,Onsight,6a+,1,***,120m,Lord of the Thais,7b,17721133,http://www.thecrag.com/route/17721133,Thailand,http://www.thecrag.com/area/11746435,Railay,http://www.thecrag.com/area/13949881,Railay - Thaiwand Wall,,1:[6a+],,2020-03-09T00:00:00Z,2020-03-09T09:59:27Z,,,,
The King and I,3136081062,http://www.thecrag.com/ascent/3136081062,Onsight,7a,1,**,120m,The King and I,7b+,17721457,http://www.thecrag.com/route/17721457,Thailand,http://www.thecrag.com/area/11746435,Railay,http://www.thecrag.com/area/13949881,Railay - Thaiwand Wall,,1:[7a],,2020-03-09T00:00:00Z,2020-03-09T09:59:27Z,,,,
Fit to be Thaid,3136081101,http://www.thecrag.com/ascent/3136081101,Onsight,6a+,1,**,25m,Fit to be Thaid,6a+,17721799,http://www.thecrag.com/route/17721799,Thailand,http://www.thecrag.com/area/11746435,Railay,http://www.thecrag.com/area/13949881,Railay - Thaiwand Wall,,,,2020-03-09T00:00:00Z,2020-03-09T09:59:27Z,,,,
Just Dusit,3136080186,http://www.thecrag.com/ascent/3136080186,Pink point,7c,2,***,12m,Just Dusit,7c,17727421,http://www.thecrag.com/route/17727421,Thailand,http://www.thecrag.com/area/11746435,Ton Sai,http://www.thecrag.com/area/3097160649,Ton Sai - Ton Sai Wall & Roof,,"Really cool climb, bouldery start into easy tufa wrestling, followed by (maybe reachy) top boulder problem. Not polished.",,2020-03-09T00:00:00Z,2020-03-09T09:56:21Z,,,,
Just Dusit,3127925163,http://www.thecrag.com/ascent/3127925163,Hang dog,7c,2,***,12m,Just Dusit,7c,17727421,http://www.thecrag.com/route/17727421,Thailand,http://www.thecrag.com/area/11746435,Ton Sai,http://www.thecrag.com/area/3097160649,Ton Sai - Ton Sai Wall & Roof,,,,2020-03-06T00:00:00Z,2020-03-06T15:21:35Z,,,,
Germans in Tights,3124673055,http://www.thecrag.com/ascent/3124673055,Pink point,7b,2,**,12m,Germans in Tights,7b,17727481,http://www.thecrag.com/route/17727481,Thailand,http://www.thecrag.com/area/11746435,Ton Sai,http://www.thecrag.com/area/3097160649,Ton Sai - Ton Sai Wall & Roof,,,,2020-03-05T00:00:00Z,2020-03-05T07:17:14Z,,,,
Schlingel Max,3122151987,http://www.thecrag.com/ascent/3122151987,Onsight,6b,1,*,15m,Schlingel Max,6b,17725267,http://www.thecrag.com/route/17725267,Thailand,http://www.thecrag.com/area/11746435,Ton Sai,http://www.thecrag.com/area/3097160649,Ton Sai - Dum's Kitchen,,,,2020-03-04T00:00:00Z,2020-03-04T11:29:47Z,,,,
Germans in Tights,3120494853,http://www.thecrag.com/ascent/3120494853,Hang dog,7b,2,**,12m,Germans in Tights,7b,17727481,http://www.thecrag.com/route/17727481,Thailand,http://www.thecrag.com/area/11746435,Ton Sai,http://www.thecrag.com/area/3097160649,Ton Sai - Ton Sai Wall & Roof,,,,2020-03-03T00:00:00Z,2020-03-03T09:19:38Z,,,,
Lal Bab,3120489864,http://www.thecrag.com/ascent/3120489864,Pink point,7a+,1,**,14m,Lal Bab,7a+,17727985,http://www.thecrag.com/route/17727985,Thailand,http://www.thecrag.com/area/11746435,Ton Sai,http://www.thecrag.com/area/3097160649,Ton Sai - Ton Sai Wall & Roof,,,,2020-03-03T00:00:00Z,2020-03-03T09:17:25Z,,,,
Ling Rong Hei,3118100808,http://www.thecrag.com/ascent/3118100808,Onsight,6b+,1,**,20m,Ling Rong Hei,6b+,82037196,http://www.thecrag.com/route/82037196,Thailand,http://www.thecrag.com/area/11746435,Railay,http://www.thecrag.com/area/13949881,Railay - Wee's Present Wall,,,,2020-03-02T00:00:00Z,2020-03-02T11:21:54Z,,,,
Low Season,3118100832,http://www.thecrag.com/ascent/3118100832,Onsight,6c,1,*,20m,Low Season,6c,82037298,http://www.thecrag.com/route/82037298,Thailand,http://www.thecrag.com/area/11746435,Railay,http://www.thecrag.com/area/13949881,Railay - Wee's Present Wall,,,,2020-03-02T00:00:00Z,2020-03-02T11:21:54Z,,,,
Shit Rest Days,3118100847,http://www.thecrag.com/ascent/3118100847,Pink point,7a+,1,**,25m,Shit Rest Days,7a+,17722357,http://www.thecrag.com/route/17722357,Thailand,http://www.thecrag.com/area/11746435,Railay,http://www.thecrag.com/area/13949881,Railay - Wee's Present Wall,,,,2020-03-02T00:00:00Z,2020-03-02T11:21:54Z,,,,
The Tiger Queen,3111522261,http://www.thecrag.com/ascent/3111522261,Pink point,7b,2,**,12m,The Tiger Queen,7b,17724961,http://www.thecrag.com/route/17724961,Thailand,http://www.thecrag.com/area/11746435,Ton Sai,http://www.thecrag.com/area/3097160649,Ton Sai - Dum's Kitchen,,,,2020-02-29T00:00:00Z,2020-02-29T08:08:28Z,,,,
The Cat and the Cobra,3110572968,http://www.thecrag.com/ascent/3110572968,Onsight,6b,1,**,20m,The Cat and the Cobra,6b,17730451,http://www.thecrag.com/route/17730451,Thailand,http://www.thecrag.com/area/11746435,Ton Sai,http://www.thecrag.com/area/3097160649,Ton Sai - Cat Wall,,,,2020-02-28T00:00:00Z,2020-02-28T15:41:05Z,,,,
Stalagasaurus,3109676805,http://www.thecrag.com/ascent/3109676805,Flash,6c+,1,**,13m,Stalagasaurus,6c+,17727817,http://www.thecrag.com/route/17727817,Thailand,http://www.thecrag.com/area/11746435,Ton Sai,http://www.thecrag.com/area/3097160649,Ton Sai - Ton Sai Wall & Roof,,,,2020-02-28T00:00:00Z,2020-02-28T07:52:20Z,,,,
The Tiger Queen,3109675131,http://www.thecrag.com/ascent/3109675131,Hang dog,7b,2,**,12m,The Tiger Queen,7b,17724961,http://www.thecrag.com/route/17724961,Thailand,http://www.thecrag.com/area/11746435,Ton Sai,http://www.thecrag.com/area/3097160649,Ton Sai - Dum's Kitchen,,,,2020-02-28T00:00:00Z,2020-02-28T07:50:35Z,,,,
Up in Smoke,3108009804,http://www.thecrag.com/ascent/3108009804,Onsight,6a+,1,**,17m,Up in Smoke,6a+,115631856,http://www.thecrag.com/route/115631856,Thailand,http://www.thecrag.com/area/11746435,Ton Sai,http://www.thecrag.com/area/3097160649,Ton Sai - Fire Wall,,,,2020-02-27T00:00:00Z,2020-02-27T13:08:52Z,,,,
Boobtube,3108009828,http://www.thecrag.com/ascent/3108009828,Onsight,6b,1,**,30m,Boobtube,6b,17732395,http://www.thecrag.com/route/17732395,Thailand,http://www.thecrag.com/area/11746435,Ton Sai,http://www.thecrag.com/area/3097160649,Ton Sai - Fire Wall,,,,2020-02-27T00:00:00Z,2020-02-27T13:08:52Z,,,,
Mentiroso,3101516697,http://www.thecrag.com/ascent/3101516697,Ground up red point,6c,1,**,32m,Mentiroso,6c,1124959455,http://www.thecrag.com/route/1124959455,Spain,http://www.thecrag.com/area/11747395,Chulilla,http://www.thecrag.com/area/102885222,Chulilla - Canyon - Pared Blanca / Monte De Venus,,,,2020-02-23T00:00:00Z,2020-02-23T19:24:59Z,,,,
Ajo y estaca,3097655379,http://www.thecrag.com/ascent/3097655379,Hang dog,7b,1,***,37m,Ajo y estaca,7b,3073072725,http://www.thecrag.com/route/3073072725,Spain,http://www.thecrag.com/area/11747395,Chulilla,http://www.thecrag.com/area/102885222,Chulilla - Canyon - La Fuente,,,,2020-02-21T00:00:00Z,2020-02-21T19:35:26Z,,,,
Sex symbol,3095678004,http://www.thecrag.com/ascent/3095678004,Pink point,7c,1,***,38m,Sex symbol,7c,3073072614,http://www.thecrag.com/route/3073072614,Spain,http://www.thecrag.com/area/11747395,Chulilla,http://www.thecrag.com/area/102885222,Chulilla - Canyon - La Fuente,,,,2020-02-20T00:00:00Z,2020-02-20T18:15:44Z,,,,
Richar Line,3094251378,http://www.thecrag.com/ascent/3094251378,Pink point,7a,1,***,30m,Richar Line,7a,616984101,http://www.thecrag.com/route/616984101,Spain,http://www.thecrag.com/area/11747395,Chulilla,http://www.thecrag.com/area/102885222,Chulilla - Canyon - Chorreras,,,,2020-02-19T00:00:00Z,2020-02-19T18:05:15Z,,,,
Animula Vagula Blandula,3094243956,http://www.thecrag.com/ascent/3094243956,Pink point,7b,1,***,40m,Animula Vagula Blandula,7a+,611842314,http://www.thecrag.com/route/611842314,Spain,http://www.thecrag.com/area/11747395,Chulilla,http://www.thecrag.com/area/102885222,Chulilla - Canyon - El Oasis,,7b in 2020 guide?,,2020-02-19T00:00:00Z,2020-02-19T18:04:35Z,,,,
Daños Colaterales,3090136896,http://www.thecrag.com/ascent/3090136896,Pink point,7b+,2,***,35m,Daños Colaterales,7b+,611849727,http://www.thecrag.com/route/611849727,Spain,http://www.thecrag.com/area/11747395,Chulilla,http://www.thecrag.com/area/102885222,Chulilla - Canyon - El Oasis,,,,2020-02-17T00:00:00Z,2020-02-17T14:42:50Z,,,,
Gárgola L1,3088459140,http://www.thecrag.com/ascent/3088459140,Onsight,6b,1,**,18m,Gárgola L1,6b,611849541,http://www.thecrag.com/route/611849541,Spain,http://www.thecrag.com/area/11747395,Chulilla,http://www.thecrag.com/area/102885222,Chulilla - Canyon - El Oasis,,,,2020-02-16T00:00:00Z,2020-02-16T17:33:36Z,,,,
Daños Colaterales,3088459158,http://www.thecrag.com/ascent/3088459158,Hang dog,7b+,2,***,35m,Daños Colaterales,7b+,611849727,http://www.thecrag.com/route/611849727,Spain,http://www.thecrag.com/area/11747395,Chulilla,http://www.thecrag.com/area/102885222,Chulilla - Canyon - El Oasis,,,,2020-02-16T00:00:00Z,2020-02-16T17:33:36Z,,,,
Pim Pam Pons L1,3085438809,http://www.thecrag.com/ascent/3085438809,Pink point,7a+,1,**,20m,Pim Pam Pons L1,7a+,626702262,http://www.thecrag.com/route/626702262,Spain,http://www.thecrag.com/area/11747395,Chulilla,http://www.thecrag.com/area/102885222,Chulilla - Canyon - Chorreras,,,,2020-02-14T00:00:00Z,2020-02-14T19:09:16Z,,,,
Magic Line,3085438824,http://www.thecrag.com/ascent/3085438824,Hang dog,7a+,1,***,40m,Magic Line,7a+,616988178,http://www.thecrag.com/route/616988178,Spain,http://www.thecrag.com/area/11747395,Chulilla,http://www.thecrag.com/area/102885222,Chulilla - Canyon - Chorreras,,,,2020-02-14T00:00:00Z,2020-02-14T19:09:16Z,,,,
El Viaje A Cuba,3084312633,http://www.thecrag.com/ascent/3084312633,Pink point,7a,1,**,30m,El Viaje A Cuba,6c+,611840733,http://www.thecrag.com/route/611840733,Spain,http://www.thecrag.com/area/11747395,Chulilla,http://www.thecrag.com/area/102885222,Chulilla - Canyon - El Oasis,,7a in the 2020 guidebook,,2020-02-13T00:00:00Z,2020-02-13T19:30:57Z,,,,
El Oasis,3084312648,http://www.thecrag.com/ascent/3084312648,Pink point,7a,1,**,28m,El Oasis,7a,611840919,http://www.thecrag.com/route/611840919,Spain,http://www.thecrag.com/area/11747395,Chulilla,http://www.thecrag.com/area/102885222,Chulilla - Canyon - El Oasis,,,,2020-02-13T00:00:00Z,2020-02-13T19:30:57Z,,,,
Richi,3084312663,http://www.thecrag.com/ascent/3084312663,Onsight,6b+,1,**,28m,Richi,6b+,611841105,http://www.thecrag.com/route/611841105,Spain,http://www.thecrag.com/area/11747395,Chulilla,http://www.thecrag.com/area/102885222,Chulilla - Canyon - El Oasis,,,,2020-02-13T00:00:00Z,2020-02-13T19:30:57Z,,,,
El muro de las lamentaciones,3082724112,http://www.thecrag.com/ascent/3082724112,Onsight,7a,1,***,35m,El muro de las lamentaciones,7a,622329792,http://www.thecrag.com/route/622329792,Spain,http://www.thecrag.com/area/11747395,Chulilla,http://www.thecrag.com/area/102885222,Chulilla - Castillo - Muro de las lamentaciones,,,,2020-02-12T00:00:00Z,2020-02-12T16:37:20Z,,,,
Bavarian purity,3082724136,http://www.thecrag.com/ascent/3082724136,Onsight,6b,1,*,35m,Bavarian purity,6b,622325793,http://www.thecrag.com/route/622325793,Spain,http://www.thecrag.com/area/11747395,Chulilla,http://www.thecrag.com/area/102885222,Chulilla - Castillo - Muro de las lamentaciones,,,,2020-02-12T00:00:00Z,2020-02-12T16:37:20Z,,,,
Julia,3080551458,http://www.thecrag.com/ascent/3080551458,Pink point,7b,3,**,26m,Julia,7b,26408892,http://www.thecrag.com/route/26408892,Spain,http://www.thecrag.com/area/11747395,Margalef,http://www.thecrag.com/area/24643374,Margalef - Cami De L'Ermita,,,,2020-02-11T00:00:00Z,2020-02-11T08:29:05Z,,,,
Flors I Violes,3078486408,http://www.thecrag.com/ascent/3078486408,Onsight,6b+,1,**,30m,Flors I Violes,6b+,26408517,http://www.thecrag.com/route/26408517,Spain,http://www.thecrag.com/area/11747395,Margalef,http://www.thecrag.com/area/24643374,Margalef - Cami De L'Ermita,,,,2020-02-10T00:00:00Z,2020-02-10T08:24:38Z,,,,
Julia,3078486423,http://www.thecrag.com/ascent/3078486423,Hang dog,7b,3,**,26m,Julia,7b,26408892,http://www.thecrag.com/route/26408892,Spain,http://www.thecrag.com/area/11747395,Margalef,http://www.thecrag.com/area/24643374,Margalef - Cami De L'Ermita,,,,2020-02-10T00:00:00Z,2020-02-10T08:24:38Z,,,,
Canal Plus,3075696915,http://www.thecrag.com/ascent/3075696915,Onsight,6a+,1,**,,Canal Plus,6a+,18403189,http://www.thecrag.com/route/18403189,Spain,http://www.thecrag.com/area/11747395,Mont-ral,http://www.thecrag.com/area/14158009,Mont-ral - Terra Negra,,,,2020-02-08T00:00:00Z,2020-02-08T19:09:48Z,,,,
Ella Es Asi,3075695175,http://www.thecrag.com/ascent/3075695175,Onsight,6c,1,*,25m,Ella Es Asi,6c,18402325,http://www.thecrag.com/route/18402325,Spain,http://www.thecrag.com/area/11747395,Mont-ral,http://www.thecrag.com/area/14158009,Mont-ral - Espero No,,,,2020-02-08T00:00:00Z,2020-02-08T19:06:59Z,,,,
Eslava,3075692820,http://www.thecrag.com/ascent/3075692820,Onsight,6b+,1,,,Eslava,6b+,18400345,http://www.thecrag.com/route/18400345,Spain,http://www.thecrag.com/area/11747395,Mont-ral,http://www.thecrag.com/area/14158009,Mont-ral - Per Davant,,,,2020-02-08T00:00:00Z,2020-02-08T19:06:04Z,,,,
"No Em Toquis El Pitu, Que M'irritu",3075692796,http://www.thecrag.com/ascent/3075692796,Pink point,6b,1,**,,"No Em Toquis El Pitu, Que M'irritu",6b,18400201,http://www.thecrag.com/route/18400201,Spain,http://www.thecrag.com/area/11747395,Mont-ral,http://www.thecrag.com/area/14158009,Mont-ral - Per Davant,,,,2020-02-08T00:00:00Z,2020-02-08T19:06:04Z,,,,
